measure,dateTime,date,value (m3/s),completeness,quality,qcode
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-21T09:00:00Z,2010-02-21,4.33,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-22T09:00:00Z,2010-02-22,3.92,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-23T09:00:00Z,2010-02-23,3.78,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-24T09:00:00Z,2010-02-24,5.0,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-25T09:00:00Z,2010-02-25,7.8,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-26T09:00:00Z,2010-02-26,35.5,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-27T09:00:00Z,2010-02-27,12.4,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-28T09:00:00Z,2010-02-28,7.73,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-03-01T09:00:00Z,2010-03-01,5.8,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-03-02T09:00:00Z,2010-03-02,4.95,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-03-03T09:00:00Z,2010-03-03,4.37,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-03-04T09:00:00Z,2010-03-04,3.93,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-03-05T09:00:00Z,2010-03-05,3.7,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-03-06T09:00:00Z,2010-03-06,3.58,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-03-07T09:00:00Z,2010-03-07,3.33,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-03-08T09:00:00Z,2010-03-08,3.17,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-03-09T09:00:00Z,2010-03-09,3.1,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-03-10T09:00:00Z,2010-03-10,3.0,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-03-11T09:00:00Z,2010-03-11,2.91,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-03-12T09:00:00Z,2010-03-12,2.86,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-03-13T09:00:00Z,2010-03-13,2.76,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-03-14T09:00:00Z,2010-03-14,2.7,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-03-15T09:00:00Z,2010-03-15,2.67,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-03-16T09:00:00Z,2010-03-16,2.63,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-03-17T09:00:00Z,2010-03-17,2.65,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-03-18T09:00:00Z,2010-03-18,2.6,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-03-19T09:00:00Z,2010-03-19,3.32,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-03-20T09:00:00Z,2010-03-20,17.7,Complete,Good,
