measure,dateTime,date,value (m3/s),completeness,quality,qcode
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-06T09:00:00Z,2010-03-06,4.21,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-07T09:00:00Z,2010-03-07,4.48,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-08T09:00:00Z,2010-03-08,3.77,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-09T09:00:00Z,2010-03-09,3.48,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-10T09:00:00Z,2010-03-10,3.32,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-11T09:00:00Z,2010-03-11,3.24,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-12T09:00:00Z,2010-03-12,3.15,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-13T09:00:00Z,2010-03-13,3.67,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-14T09:00:00Z,2010-03-14,3.47,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-15T09:00:00Z,2010-03-15,3.51,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-16T09:00:00Z,2010-03-16,3.82,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-17T09:00:00Z,2010-03-17,3.29,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-18T09:00:00Z,2010-03-18,3.51,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-19T09:00:00Z,2010-03-19,3.8,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-20T09:00:00Z,2010-03-20,16.0,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-21T09:00:00Z,2010-03-21,8.8,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-22T09:00:00Z,2010-03-22,7.49,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-23T09:00:00Z,2010-03-23,12.8,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-24T09:00:00Z,2010-03-24,17.4,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-25T09:00:00Z,2010-03-25,17.7,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-26T09:00:00Z,2010-03-26,35.6,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-27T09:00:00Z,2010-03-27,13.7,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-28T09:00:00Z,2010-03-28,8.14,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-29T09:00:00Z,2010-03-29,15.6,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-30T09:00:00Z,2010-03-30,46.5,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-31T09:00:00Z,2010-03-31,30.4,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-04-01T09:00:00Z,2010-04-01,13.8,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-04-02T09:00:00Z,2010-04-02,9.58,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-04-03T09:00:00Z,2010-04-03,11.0,Complete,Good,
