measure,dateTime,date,value (m3/s),completeness,quality,qcode
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-03-20T09:00:00Z,2010-03-20,9.52,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-03-21T09:00:00Z,2010-03-21,4.65,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-03-22T09:00:00Z,2010-03-22,5.5,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-03-23T09:00:00Z,2010-03-23,9.22,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-03-24T09:00:00Z,2010-03-24,11.3,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-03-25T09:00:00Z,2010-03-25,10.5,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-03-26T09:00:00Z,2010-03-26,14.8,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-03-27T09:00:00Z,2010-03-27,7.06,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-03-28T09:00:00Z,2010-03-28,4.63,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-03-29T09:00:00Z,2010-03-29,12.6,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-03-30T09:00:00Z,2010-03-30,31.5,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-03-31T09:00:00Z,2010-03-31,23.9,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-01T09:00:00Z,2010-04-01,11.1,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-02T09:00:00Z,2010-04-02,7.2,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-03T09:00:00Z,2010-04-03,5.86,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-04T09:00:00Z,2010-04-04,4.63,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-05T09:00:00Z,2010-04-05,14.3,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-06T09:00:00Z,2010-04-06,7.71,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-07T09:00:00Z,2010-04-07,6.58,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-08T09:00:00Z,2010-04-08,4.68,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-09T09:00:00Z,2010-04-09,3.96,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-10T09:00:00Z,2010-04-10,3.47,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-11T09:00:00Z,2010-04-11,3.13,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-12T09:00:00Z,2010-04-12,2.89,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-13T09:00:00Z,2010-04-13,2.72,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-14T09:00:00Z,2010-04-14,2.56,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-15T09:00:00Z,2010-04-15,2.44,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-16T09:00:00Z,2010-04-16,2.34,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-17T09:00:00Z,2010-04-17,2.26,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/f3904234-3063-44ac-b93a-0f52861ddbb4-flow-m-86400-m3s-qualified,2010-04-18T09:00:00Z,2010-04-18,2.19,Complete,Good,
